-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,
Dates (month/day/year): 04/01/2014 through 07/31/2016 ,,,,,,,,,,,
Location: Latitude  22.6439   Longitude 120.6 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 369.24 meters   Site = na ,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -99 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) ,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,DOY,PRECTOT,WS2M,RH2M,T2MDEW,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,T2M
22.64391,120.60001,2014,91,3.4,2.91,76.46,18.71,26.46,21,17.71,23.17
22.64391,120.60001,2014,92,5.2,1.69,77.43,18.75,26.61,20.54,6.69,22.94
22.64391,120.60001,2014,93,0.66,1.8,78.47,18.3,25.1,20.2,10.09,22.28
22.64391,120.60001,2014,94,2.02,3.22,74.43,16.06,24.09,18.51,7.24,20.84
22.64391,120.60001,2014,95,0.03,1.56,63.67,14.35,26.31,17.77,18.42,21.62
22.64391,120.60001,2014,96,0.02,4.3,61.99,14.11,26.37,18.3,11.71,21.8
22.64391,120.60001,2014,97,1.25,2.77,68.86,15.92,25.9,18.83,6.42,21.95
22.64391,120.60001,2014,98,0.83,1.46,69.84,17.92,28.51,20.27,17.39,23.85
22.64391,120.60001,2014,99,0.92,1.38,69.75,18.63,28.6,21.33,20.52,24.62
22.64391,120.60001,2014,100,0.72,2.61,73.69,18.84,27.38,21.67,17.78,23.9
22.64391,120.60001,2014,101,2.15,2.55,71.9,18.55,28.42,20.68,17.22,23.98
22.64391,120.60001,2014,102,0.05,2.58,67.61,18.09,29.59,20.83,22.59,24.58
22.64391,120.60001,2014,103,0.04,2.11,69.85,18.91,29.66,21.16,21.53,24.89
22.64391,120.60001,2014,104,0.55,1.74,72.85,19.03,28.16,21.66,14.87,24.25
22.64391,120.60001,2014,105,0.01,2.51,69.27,17.23,27.27,20.63,13.37,23.2
22.64391,120.60001,2014,106,0.07,2.56,68.11,17.34,27.71,20.24,17.79,23.58
22.64391,120.60001,2014,107,0.04,2.9,65.7,17.36,29.2,20.12,20.25,24.29
22.64391,120.60001,2014,108,0.07,2.21,64.48,17.98,30.49,21.13,18.23,25.23
22.64391,120.60001,2014,109,0.1,2.09,65.39,18.37,30.31,21.72,20.39,25.39
22.64391,120.60001,2014,110,0.18,1.91,66.06,19,30.78,22.13,18.8,25.91
22.64391,120.60001,2014,111,0.18,1.79,68.45,19.95,30.92,22.92,18.61,26.25
22.64391,120.60001,2014,112,0.41,1.93,66.28,19.77,31.23,23.25,19.81,26.63
22.64391,120.60001,2014,113,0.85,1.89,69.12,19.64,29.87,23.11,16.08,25.78
22.64391,120.60001,2014,114,0.2,1.79,64.98,19.23,31.26,22.53,17.79,26.42
22.64391,120.60001,2014,115,0.16,0.85,64.22,19.05,30.16,23.21,20.34,26.54
22.64391,120.60001,2014,116,1.48,1.41,70.75,20.78,30.73,23.54,15.97,26.57
22.64391,120.60001,2014,117,1.45,2.12,65.87,19.88,31.62,23.52,21.45,26.93
22.64391,120.60001,2014,118,0.83,1.62,64.8,18.83,30.49,23.29,16.04,26.12
22.64391,120.60001,2014,119,0.07,1.38,62.27,17.13,28.87,22.36,14.33,24.91
22.64391,120.60001,2014,120,0.51,1.51,67.13,17.42,26.85,21.65,12.66,23.93
22.64391,120.60001,2014,121,4.28,1.29,74.14,18.67,25.9,21.86,6.92,23.57
22.64391,120.60001,2014,122,7.26,2.17,76.83,19.86,27.01,22.34,8.69,24.23
22.64391,120.60001,2014,123,2,3.17,76.81,19.89,27.35,22.29,14.82,24.25
22.64391,120.60001,2014,124,10.71,3.33,72.44,19.59,29.09,21.6,17.21,25
22.64391,120.60001,2014,125,4.91,1.92,78.28,20.4,27.67,21.75,16.99,24.53
22.64391,120.60001,2014,126,1.7,1.93,73.86,18.42,27.26,21.06,6.74,23.36
22.64391,120.60001,2014,127,1.46,1.21,74.46,19.11,27.19,21.39,12.73,23.97
22.64391,120.60001,2014,128,2.23,1.58,69.46,19.31,30.1,22.01,20.32,25.39
22.64391,120.60001,2014,129,15.36,2.72,82.57,21.08,26.52,22.87,2.7,24.32
22.64391,120.60001,2014,130,4.3,1.95,75.51,19.94,27.67,22.04,15.78,24.67
22.64391,120.60001,2014,131,3.01,2.92,72.82,20.41,29.73,22.68,15.51,25.85
22.64391,120.60001,2014,132,3.24,2.57,76.25,21.28,29.35,23.69,21.8,25.89
22.64391,120.60001,2014,133,10.05,2.2,78.55,21.73,28.97,23.1,17.29,25.81
22.64391,120.60001,2014,134,0.74,4,76.39,21.8,30.09,23.47,21.73,26.38
22.64391,120.60001,2014,135,15.07,4.12,81.86,22.45,28.29,23.95,18.3,25.85
22.64391,120.60001,2014,136,2.64,1.46,78.56,22.03,29.13,23.67,20.38,26.14
22.64391,120.60001,2014,137,2.82,1.62,73.48,20.17,27.21,23.82,23.52,25.43
22.64391,120.60001,2014,138,6.31,2.76,73.77,21.09,29.48,23.89,16.95,26.21
22.64391,120.60001,2014,139,10.26,2.09,81.34,22.03,27.82,23.85,15.23,25.52
22.64391,120.60001,2014,140,16.21,3.15,83.69,22.44,27.43,23.31,11.27,25.47
22.64391,120.60001,2014,141,17.2,1.33,82.94,22.42,27.98,23.69,8.57,25.6
22.64391,120.60001,2014,142,2.77,1.88,79.56,21.56,28.29,23.17,22.13,25.42
22.64391,120.60001,2014,143,2.43,1.16,77.76,21.62,28.43,23.95,7.81,25.88
22.64391,120.60001,2014,144,2.9,1.47,74.49,21.86,30.89,23.28,24.73,26.89
22.64391,120.60001,2014,145,1.22,2.13,74.66,22.44,30.77,24.54,22.45,27.4
22.64391,120.60001,2014,146,3.07,2.8,78.54,23.09,30.15,24.69,21.69,27.21
22.64391,120.60001,2014,147,5.27,3.2,83.24,23.44,28.95,24.5,14.55,26.57
22.64391,120.60001,2014,148,27.4,2.77,88.57,24.55,29.13,25.16,9.59,26.64
22.64391,120.60001,2014,149,5.94,1.78,81.25,23.34,29.5,24.81,20.98,26.88
22.64391,120.60001,2014,150,0.29,1.14,77.8,22.29,29.23,24.36,17.35,26.57
22.64391,120.60001,2014,151,1.38,1.84,73.97,22.32,30.99,24.79,22.28,27.46
22.64391,120.60001,2014,152,0.52,2.09,73.48,22.16,31.1,24.75,24.56,27.41
22.64391,120.60001,2014,153,0.08,2.97,82.05,23.35,29.18,23.98,23.08,26.75
22.64391,120.60001,2014,154,5.87,3.63,87.3,24.14,27.99,24.54,12.66,26.48
22.64391,120.60001,2014,155,5.51,3.07,81.1,22.88,29.36,24.3,5.07,26.46
22.64391,120.60001,2014,156,26.88,2.49,82.84,23.12,29.03,24.36,6.28,26.34
22.64391,120.60001,2014,157,11.02,1.36,80.1,22.15,28.7,24.01,18.24,25.95
22.64391,120.60001,2014,158,12.52,2.36,84.41,22.35,26.74,23.42,9.86,25.25
22.64391,120.60001,2014,159,34.82,3.25,86.44,23.46,27.72,24.03,10.98,25.96
22.64391,120.60001,2014,160,20.44,4.51,92.24,24.48,26.74,24.98,9.99,25.86
22.64391,120.60001,2014,161,5.55,3.65,87.23,24.09,29.24,24.36,17.01,26.41
22.64391,120.60001,2014,162,10.48,2.7,86.85,23.96,29.31,24.33,18.2,26.36
22.64391,120.60001,2014,163,5.57,3.8,81.93,22.14,28.42,23.01,11.25,25.52
22.64391,120.60001,2014,164,20.28,4.71,84.76,22.55,28.11,22.61,7.83,25.42
22.64391,120.60001,2014,165,25.7,4.93,90.96,24.07,26.92,24.29,6.48,25.71
22.64391,120.60001,2014,166,18.67,4.44,91.57,24.49,27.15,25.22,9.14,26
22.64391,120.60001,2014,167,3.19,3.39,88.65,24.17,28.04,24.85,21.31,26.23
