day,month,year,mintp,mxntp,p,evp
2,4,2014,21,26.46,3.4,2.487184652
3,4,2014,20.54,26.61,5.2,1.015978849
4,4,2014,20.2,25.1,0.66,1.267726721
5,4,2014,18.51,24.09,2.02,1.702971374
6,4,2014,17.77,26.31,0.03,2.403864529
7,4,2014,18.3,26.37,0.02,3.361565434
8,4,2014,18.83,25.9,1.25,1.731923228
9,4,2014,20.27,28.51,0.83,2.248690136
10,4,2014,21.33,28.6,0.92,2.503043267
11,4,2014,21.67,27.38,0.72,2.593450715
12,4,2014,20.68,28.42,2.15,2.710033092
13,4,2014,20.83,29.59,0.05,3.618196589
14,4,2014,21.16,29.66,0.04,3.155212442
15,4,2014,21.66,28.16,0.55,2.021531113
16,4,2014,20.63,27.27,0.01,2.362915042
17,4,2014,20.24,27.71,0.07,2.827399285
18,4,2014,20.12,29.2,0.04,3.545045403
19,4,2014,21.13,30.49,0.07,3.13641629
20,4,2014,21.72,30.31,0.1,3.239149877
21,4,2014,22.13,30.78,0.18,2.961554517
22,4,2014,22.92,30.92,0.18,2.793041535
23,4,2014,23.25,31.23,0.41,3.099723269
24,4,2014,23.11,29.87,0.85,2.46223132
25,4,2014,22.53,31.26,0.2,2.829725318
26,4,2014,23.21,30.16,0.16,2.313927253
27,4,2014,23.54,30.73,1.48,2.163790507
28,4,2014,23.52,31.62,1.45,3.469208309
29,4,2014,23.29,30.49,0.83,2.471660285
30,4,2014,22.36,28.87,0.07,2.054260483
1,5,2014,21.65,26.85,0.51,1.732810416
2,5,2014,21.86,25.9,4.28,0.953934217
3,5,2014,22.34,27.01,7.26,1.465493148
4,5,2014,22.29,27.35,2,2.375751673
5,5,2014,21.6,29.09,10.71,3.037267111
6,5,2014,21.75,27.67,4.91,2.027475026
7,5,2014,21.06,27.26,1.7,1.293206556
8,5,2014,21.39,27.19,1.46,1.412735786
9,5,2014,22.01,30.1,2.23,2.775982452
10,5,2014,22.87,26.52,15.36,1.004792354
11,5,2014,22.04,27.67,4.3,2.01917717
12,5,2014,22.68,29.73,3.01,2.749458807
13,5,2014,23.69,29.35,3.24,2.968644108
14,5,2014,23.1,28.97,10.05,2.226499331
15,5,2014,23.47,30.09,0.74,3.513095824
16,5,2014,23.95,28.29,15.07,2.550063125
17,5,2014,23.67,29.13,2.64,2.239327063
18,5,2014,23.82,27.21,2.82,2.404183097
19,5,2014,23.89,29.48,6.31,2.704952086
20,5,2014,23.85,27.82,10.26,1.78190501
21,5,2014,23.31,27.43,16.21,1.547480128
22,5,2014,23.69,27.98,17.2,0.946099126
23,5,2014,23.17,28.29,2.77,2.437417671
24,5,2014,23.95,28.43,2.43,0.949016555
25,5,2014,23.28,30.89,2.9,3.076927295
26,5,2014,24.54,30.77,1.22,2.996033253
27,5,2014,24.69,30.15,3.07,2.873735241
28,5,2014,24.5,28.95,5.27,1.985143449
29,5,2014,25.16,29.13,27.4,1.314798769
30,5,2014,24.81,29.5,5.94,2.280799361
31,5,2014,24.36,29.23,0.29,1.813861517
1,6,2014,24.79,30.99,1.38,2.922293786
2,6,2014,24.75,31.1,0.52,3.315401181
3,6,2014,23.98,29.18,0.08,2.656094707
4,6,2014,24.54,27.99,5.87,1.477281744
5,6,2014,24.3,29.36,5.51,1.415156053
6,6,2014,24.36,29.03,26.88,1.217351561
7,6,2014,24.01,28.7,11.02,1.913936095
8,6,2014,23.42,26.74,12.52,1.190267988
9,6,2014,24.03,27.72,34.82,1.397893606
10,6,2014,24.98,26.74,20.44,1.050003923
11,6,2014,24.36,29.24,5.55,2.11996892
12,6,2014,24.33,29.31,10.48,2.090840538
13,6,2014,23.01,28.42,5.57,1.964366268
14,6,2014,22.61,28.11,20.28,1.613582371
15,6,2014,24.29,26.92,25.7,0.994610283
16,6,2014,25.22,27.15,18.67,1.156973979
17,6,2014,24.85,28.04,3.19,2.027319061
18,6,2014,25.07,28.14,0.9,2.033651314
19,6,2014,24.97,28.84,0.18,2.333502643
20,6,2014,24.46,29.31,0.16,2.506257249
21,6,2014,24.29,29.25,0.8,2.42479528
22,6,2014,25.33,29.14,0.86,2.684633484
23,6,2014,25.15,28.66,0.5,2.403079902
24,6,2014,24.78,28.61,2.13,2.461350928
25,6,2014,24.6,29.17,3.26,2.566372305
26,6,2014,24.98,28.79,4.78,2.221655173
27,6,2014,25.1,29.47,0.75,2.307236011
