day,month,year,mintp,mxntp,p,evp,,,,,,,,,
1,1,1982,11.32,17.48,0,2.7,,,,,,,,,
2,1,1982,11.32,17.48,0,1.6,,,,,,,,,
3,1,1982,9.91,17.18,0,1.6,,,,,,,,,
4,1,1982,8.64,16.27,0,1.4,,,,,,,,,
5,1,1982,6.96,19.5,0,2,,,,,,,,,
6,1,1982,9.01,17.19,0.01,1.5,,,,,,,,,
7,1,1982,10.41,17.98,0,1.6,,,,,,,,,
8,1,1982,9.79,19.69,0.01,2,,,,,,,,,
9,1,1982,11.74,20.76,0,2.1,,,,,,,,,
10,1,1982,10.27,22.54,0,2.2,,,,,,,,,
11,1,1982,10.45,20.8,0,2.2,,,,,,,,,
12,1,1982,9.56,20.93,0,2,,,,,,,,,
13,1,1982,8.1,18.96,0,2,,,,,,,,,
14,1,1982,9.1,23.64,0,2.8,,,,,,,,,
15,1,1982,11.17,19.01,0.11,1.2,,,,,,,,,
16,1,1982,12.3,16.94,9.02,0.9,,,,,,,,,
17,1,1982,10.26,15.69,21.68,0.7,,,,,,,,,
18,1,1982,10.25,16.2,1.96,0.8,,,,,,,,,
19,1,1982,13.33,15.65,10.35,1,,,,,,,,,
20,1,1982,11.11,13.68,46.79,0.6,,,,,,,,,
21,1,1982,9.73,15.78,9.88,1,,,,,,,,,
22,1,1982,9.63,13.97,2.43,1.1,,,,,,,,,
23,1,1982,9.5,13.1,2.4,1.2,,,,,,,,,
24,1,1982,9.35,12.54,5.43,1.1,,,,,,,,,
25,1,1982,8.71,12.89,5.8,0.8,,,,,,,,,
26,1,1982,8.22,12.13,4.96,1.2,,,,,,,,,
27,1,1982,7.68,12.97,7.54,0.8,,,,,,,,,
28,1,1982,7.93,14.82,4.76,1.4,,,,,,,,,
29,1,1982,7.98,12.45,10.72,1,,,,,,,,,
30,1,1982,10.85,14.49,2.85,1.3,,,,,,,,,
31,1,1982,11.17,15.86,3.89,1.5,,,,,,,,,
1,2,1982,11.06,15.56,0.57,1.4,,,,,,,,,
2,2,1982,11.93,16.07,0.94,1.4,,,,,,,,,
3,2,1982,8.98,15.84,1.59,1.4,,,,,,,,,
4,2,1982,8.54,14.45,0.82,1.5,,,,,,,,,
5,2,1982,9.21,15.97,0.62,1.5,,,,,,,,,
6,2,1982,9.41,16.08,2.68,1.7,,,,,,,,,
7,2,1982,8.71,15.67,0.17,1.3,,,,,,,,,
8,2,1982,7.97,16.89,0,1.8,,,,,,,,,
9,2,1982,8.52,17.97,0.03,2.1,,,,,,,,,
10,2,1982,8.71,16.7,0.34,1.6,,,,,,,,,
11,2,1982,8.92,16.02,0.53,1.5,,,,,,,,,
12,2,1982,8.59,15.45,0.09,1.8,,,,,,,,,
13,2,1982,7.67,16.64,0.12,2,,,,,,,,,
14,2,1982,8.34,16.76,0.21,2,,,,,,,,,
15,2,1982,9.37,16.44,1.51,1.7,,,,,,,,,
16,2,1982,9.51,17.82,0.79,2.2,,,,,,,,,
17,2,1982,10.07,18.4,0.13,2.1,,,,,,,,,
18,2,1982,9.67,13.89,5.49,1.8,,,,,,,,,
19,2,1982,8.5,16.59,1.71,1.9,,,,,,,,,
20,2,1982,9.67,16.37,1.63,1.9,,,,,,,,,
21,2,1982,9.14,15.38,2.01,1.9,,,,,,,,,
22,2,1982,9.99,14.68,8.1,1.6,,,,,,,,,
23,2,1982,9,13.19,4.07,1.5,,,,,,,,,
24,2,1982,8.54,15.34,1.35,2,,,,,,,,,
25,2,1982,8.8,12.6,7.3,1.4,,,,,,,,,
