day,month,year,mintp,mxntp,p,evp 
1,1,1982,-21.111111,3.333333,0,1.382878
2,1,1982,-10,0.555556,0,1.068923
3,1,1982,-11.666667,-2.222222,0,0.743196
4,1,1982,-12.222222,7.222222,0,1.697784
5,1,1982,-14.444444,-1.111111,0,0.925604
6,1,1982,-22.222222,-13.333333,0,0.28091
7,1,1982,-22.777778,-0.555556,0,0.996836
8,1,1982,-20,7.222222,0,1.971512
9,1,1982,-19.444444,0.555556,0,1.105774
10,1,1982,-23.888889,-16.666667,0,0.368336
11,1,1982,-22.777778,-6.666667,0,0.650889
12,1,1982,-24.444444,-12.222222,0,0.349569
13,1,1982,-24.444444,-0.555556,0,0.858759
14,1,1982,-1.666667,9.444444,0,2.023942
15,1,1982,-18.888889,2.777778,0,1.358304
16,1,1982,-20.555556,-6.666667,0,0.779211
17,1,1982,-11.666667,16.666667,0,3.175598
18,1,1982,-7.777778,10,0,1.326755
19,1,1982,-10.555556,-1.666667,0,0.5099
20,1,1982,-10,-1.666667,0,0.396506
21,1,1982,-13.888889,-8.888889,0,0.285061
22,1,1982,-20.555556,-12.777778,0,0.302521
23,1,1982,-23.333333,-3.888889,0,0.611985
24,1,1982,-17.777778,11.111111,0,1.998841
25,1,1982,-5,7.777778,0,1.776307
26,1,1982,-6.666667,18.888889,0,2.810738
27,1,1982,-6.111111,11.111111,0,2.265932
28,1,1982,-10,7.222222,0,1.847937
29,1,1982,-9.444444,6.111111,0,1.64936
30,1,1982,-12.222222,8.333333,0,1.659451
31,1,1982,-10.555556,9.444444,0,1.552945
1,2,1982,-8.333333,-2.222222,0,0.429442
2,2,1982,-12.777778,-4.444444,0,0.503136
3,2,1982,-20,-10.555556,0,0.359159
4,2,1982,-22.777778,-16.111111,0,0.281139
5,2,1982,-27.222222,-16.111111,0,0.254565
6,2,1982,-27.222222,-16.111111,0,0.230168
7,2,1982,-27.222222,-16.111111,0,0.203997
8,2,1982,-27.222222,-16.111111,0,0.178744
9,2,1982,-27.222222,-16.111111,0,0.158876
10,2,1982,-27.222222,-16.111111,0,0.147881
11,2,1982,-27.222222,-1.078333,0,0.628754
12,2,1982,-15.195,7.156111,0,1.469199
13,2,1982,-8.625,12.899444,0,2.511653
14,2,1982,-2.27,15.481111,0,2.747222
15,2,1982,-0.025,15.442222,0,2.30459
16,2,1982,-3.393333,15.602778,0,2.028277
17,2,1982,-1.144444,14.723333,0,2.255782
18,2,1982,-2.222222,15.892222,0,2.416925
19,2,1982,-1.136111,18.589444,0,3.402293
20,2,1982,1.970556,18.67,0,3.880326
21,2,1982,1.410556,22.697222,0,3.936033
22,2,1982,-0.381667,24.723333,0,4.945098
23,2,1982,-4.052222,1.083889,0,0.673901
24,2,1982,-6.771667,3.565,0,1.639844
25,2,1982,-8.071111,0.668889,0,1.095704
26,2,1982,-8.554444,7.695,0,2.167161
27,2,1982,-5.221111,13.748333,0,2.795916
28,2,1982,-1.307222,12.893333,0,2.559879
1,3,1982,-3.556667,19.754444,0,3.809558
2,3,1982,-6.827778,10.693889,0,1.946496
3,3,1982,-7.941111,-4.803889,0,0.537374
4,3,1982,-9.627778,-4.303889,0,0.692054
5,3,1982,-14.31,-5.431667,0,0.908945
6,3,1982,-12.216111,0.82,0,1.295336
7,3,1982,-9.444444,4.882778,0,1.606479
8,3,1982,-7.188889,1.433333,0,1.402689
9,3,1982,-6.691667,15.317778,0,3.517889
10,3,1982,-0.796667,19.651111,0,5.003617
11,3,1982,-4.665556,16.224444,0,3.890942
12,3,1982,-2.835556,11.226667,0,3.708292
13,3,1982,-3.368889,15.532778,0,4.031581
14,3,1982,1.447778,7.996667,0,1.544629
15,3,1982,-0.278889,4.983333,0,0.696581
16,3,1982,0.710556,16.702222,0,3.267566
17,3,1982,2.614444,17.337778,0,3.305551
18,3,1982,0.057778,4.69,0,0.839676
19,3,1982,0.731667,12.373333,0,2.723456
20,3,1982,-6.053333,3.437222,0,2.221085
21,3,1982,-6.862778,6.702222,0,2.923916
22,3,1982,-8.529444,12.755,0,2.784179
23,3,1982,-3.302222,13.622778,0,3.801453
24,3,1982,-5.045,7.629444,0,1.757793
25,3,1982,-8.217778,5.532778,0,2.150417
26,3,1982,-6.608889,11.226667,0,3.29443
27,3,1982,-0.495556,2.893333,0,1.104018
28,3,1982,0.253889,9.603333,0,2.050501
29,3,1982,3.505,18.888889,0,4.178357
30,3,1982,2.777778,14.444444,0,5.684441
31,3,1982,-3.888889,18.333333,0,5.807721
1,4,1982,-3.333333,25.555556,0,6.704021
2,4,1982,-2.222222,14.444444,0,3.883033
3,4,1982,-7.222222,20.555556,0,5.612497
4,4,1982,-6.111111,10,0,3.038059
5,4,1982,-8.333333,6.666667,0,2.472511
