,cropot,soil,seedvar,irrsch,sowday
1982,8.758,8.744,7.12,7.084,8.757
1983,8.649,8.635,7.832,7.346,8.434
1984,8.484,7.963,9.952,8.194,8.076
1985,8.393,5.994,9.193,6.58,0
1986,8.846,8.844,8.657,7.808,8.894
1987,7.927,2.89,6.671,1.832,0
1988,8.678,5.127,7.402,4.754,0
1989,8.373,8.181,8.529,8.173,5.097
1990,8.865,8.887,9.32,8.204,8.965
1991,9.226,9.193,9.394,7.832,9.207
1992,8.876,8.691,9.716,7.775,4.627
1993,8.74,6.98,7.423,3.778,0.071
1994,8.26,5.132,7.806,6.18,0.03
1995,8.641,7.821,10.992,8.509,2.882
1996,8.538,4.109,8.091,4.953,0
1997,8.889,8.862,9.615,8.24,8.448
1998,9.044,8.145,8.373,7.233,6.274
1999,8.996,7.958,8.123,7.05,3.889
2000,8.643,6.945,9.16,7.032,3.75
2001,8.468,6.067,7.188,3.857,1.127
